kosisCode7,hjdongCode8,name
1106086,11060860,답십리2동
2308084,23080840,오류왕길동
2308085,23080850,당하동
2308081,23080810,불로대곡동
2308087,23080870,원당동
2331011,23510110,강화읍
2331031,23510310,선원면
2331032,23510320,불은면
2331033,23510330,길상면
2331034,23510340,화도면
2331035,23510350,양도면
2331036,23510360,내가면
2331037,23510370,하점면
2331038,23510380,양사면
2331039,23510390,송해면
2331040,23510400,교동면
2331041,23510410,삼산면
2331042,23510420,서도면
2332031,23520310,북도면
2332032,23520320,연평면
2332033,23520330,백령면
2332034,23520340,대청면
2332035,23520350,덕적면
2332036,23520360,자월면
2332037,23520370,영흥면
2401051,24010510,충장동
2401054,24010540,동명동
2401056,24010560,계림1동
2401058,24010580,계림2동
2401059,24010590,산수1동
2401061,24010610,산수2동
2401062,24010620,지산1동
2401063,24010630,지산2동
1106087,11060870,장안1동
2401064,24010640,서남동
2401068,24010680,학동
2401071,24010710,학운동
2401072,24010720,지원1동
2401073,24010730,지원2동
2402051,24020510,양동
1101058,11010580,교남동
1106088,11060880,장안2동
2402053,24020530,양3동
2402054,24020540,농성1동
2402055,24020550,농성2동
2402056,24020560,광천동
2402057,24020570,유덕동
2402066,24020660,치평동
2402058,24020580,상무1동
2402059,24020590,상무2동
2402060,24020600,화정1동
2402061,24020610,화정2동
2402062,24020620,화정3동
2402063,24020630,화정4동
2402064,24020640,서창동
2402068,24020680,금호1동
2402069,24020690,금호2동
2402067,24020670,풍암동
2402070,24020700,동천동
2403051,24030510,양림동
2403052,24030520,방림1동
2403053,24030530,방림2동
2403054,24030540,사직동
2403057,24030570,월산동
2403060,24030600,월산4동
2403061,24030610,월산5동
2403062,24030620,백운1동
2403063,24030630,백운2동
1106080,11060800,청량리동
2403064,24030640,주월1동
2403065,24030650,주월2동
2403071,24030710,진월동
2403067,24030670,송암동
2403068,24030680,봉선1동
2403069,24030690,봉선2동
2403070,24030700,대촌동
2404051,24040510,중흥1동
2404052,24040520,중흥2동
2404053,24040530,중흥3동
2404054,24040540,중앙동
2404055,24040550,임동
2404056,24040560,신안동
2404057,24040570,용봉동
2404058,24040580,운암1동
2404059,24040590,운암2동
2404060,24040600,운암3동
2404061,24040610,동림동
1106071,11060710,회기동
2404062,24040620,우산동
2404063,24040630,풍향동
2404064,24040640,문화동
2404065,24040650,문흥1동
2404066,24040660,문흥2동
2404067,24040670,두암1동
2404068,24040680,두암2동
2404069,24040690,두암3동
2404070,24040700,삼각동
2404078,24040780,일곡동
1106072,11060720,휘경1동
2404071,24040710,매곡동
2404072,24040720,오치1동
2404073,24040730,오치2동
2404074,24040740,석곡동
2404081,24040810,건국동
2404080,24040800,양산동
