sourceCode,targetCode,mappingType,ratio,description
31041590,31041590,UNCHANGED,1.0,
31041600,31041600,UNCHANGED,1.0,
31041610,31041610,UNCHANGED,1.0,
31041620,31041651,REORGANIZED,1.0,석수3동→충훈동
11080600,11080600,UNCHANGED,1.0,
31041630,31041630,UNCHANGED,1.0,
31041640,31041640,UNCHANGED,1.0,
31042510,31042510,UNCHANGED,1.0,
31042520,31042520,UNCHANGED,1.0,
31042530,31042530,UNCHANGED,1.0,
31042540,31042540,UNCHANGED,1.0,
31042550,31042550,UNCHANGED,1.0,
31042560,31042681,REORGANIZED,1.0,관양1동→관양동
11080610,11080610,UNCHANGED,1.0,
31042570,31042691,REORGANIZED,1.0,관양2동→인덕원동
31042580,31042580,UNCHANGED,1.0,
31042590,31042590,UNCHANGED,1.0,
31042600,31042600,UNCHANGED,1.0,
31042610,31042610,UNCHANGED,1.0,
31042620,31042620,UNCHANGED,1.0,
31042630,31042630,UNCHANGED,1.0,
31042640,31042640,UNCHANGED,1.0,
31042650,31042650,UNCHANGED,1.0,
31042660,31042660,UNCHANGED,1.0,
11080620,11080620,UNCHANGED,1.0,
31042670,31042670,UNCHANGED,1.0,
31050870,31051511,REORGANIZED,1.0,심곡동→심곡1동
31050870,31051521,REORGANIZED,1.0,심곡동→심곡2동
31050870,31051531,REORGANIZED,1.0,심곡동→심곡3동
31050870,31051541,REORGANIZED,1.0,심곡동→원미2동
31050870,31051551,REORGANIZED,1.0,심곡동→소사동
31050880,31051561,REORGANIZED,1.0,부천동→원미1동
11080630,11080630,UNCHANGED,1.0,
31050880,31051571,REORGANIZED,1.0,부천동→역곡1동
31050880,31051581,REORGANIZED,1.0,부천동→역곡2동
31050880,31051591,REORGANIZED,1.0,부천동→춘의동
31050880,31051601,REORGANIZED,1.0,부천동→도당동
31050890,31051611,RENAMED,1.0,코드변경 31050890→31051611
31050890,31051621,REORGANIZED,1.0,중동→상동
31050910,31051681,REORGANIZED,1.0,상동→상1동
31050900,31051671,REORGANIZED,1.0,신중동→중4동
31050900,31051631,REORGANIZED,1.0,신중동→약대동
31050900,31051641,REORGANIZED,1.0,신중동→중1동
11080640,11080640,UNCHANGED,1.0,
31050900,31051651,REORGANIZED,1.0,신중동→중2동
31050900,31051661,REORGANIZED,1.0,신중동→중3동
31050910,31051691,REORGANIZED,1.0,상동→상2동
31050910,31051701,REORGANIZED,1.0,상동→상3동
31050920,31052521,REORGANIZED,1.0,대산동→심곡본동
31050920,31052511,REORGANIZED,1.0,대산동→심곡본1동
31050930,31052551,RENAMED,1.0,코드변경 31050930→31052551
31050930,31052561,REORGANIZED,1.0,소사본동→소사본1동
11080650,11080650,UNCHANGED,1.0,
31050940,31052571,REORGANIZED,1.0,범안동→범박동
31050940,31052591,REORGANIZED,1.0,범안동→괴안동
31050940,31052601,REORGANIZED,1.0,범안동→역곡3동
31050920,31052531,REORGANIZED,1.0,대산동→송내1동
31050920,31052541,REORGANIZED,1.0,대산동→송내2동
31050950,31053511,RENAMED,1.0,코드변경 31050950→31053511
31050950,31053521,REORGANIZED,1.0,성곡동→고강본동
31050950,31053531,REORGANIZED,1.0,성곡동→고강1동
31050960,31053561,RENAMED,1.0,코드변경 31050960→31053561
11010730,11010730,UNCHANGED,1.0,
11080660,11080660,UNCHANGED,1.0,
31050960,31053541,REORGANIZED,1.0,오정동→원종1동
31050960,31053551,REORGANIZED,1.0,오정동→원종2동
31050960,31053571,REORGANIZED,1.0,오정동→신흥동
31060510,31060510,UNCHANGED,1.0,
31060520,31060520,UNCHANGED,1.0,
31060530,31060530,UNCHANGED,1.0,
31060540,31060540,UNCHANGED,1.0,
31060550,31060550,UNCHANGED,1.0,
31060560,31060560,UNCHANGED,1.0,
31060570,31060570,UNCHANGED,1.0,
31060580,31060580,UNCHANGED,1.0,
31060590,31060590,UNCHANGED,1.0,
31060600,31060600,UNCHANGED,1.0,
31060610,31060610,UNCHANGED,1.0,
31060620,31060620,UNCHANGED,1.0,
31060630,31060630,UNCHANGED,1.0,
